일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2022/05/20,"154,500","155,000","152,000","153,500",▲,"500","+0.33","217,429","33,383","0.53","78,989","-2,132","-129,690","-20,198","-92,725","25.82"
2022/05/19,"151,500","155,000","151,500","153,000",▼,"-3,000","-1.92","324,944","49,850","0.50","84,110","-4,682","-72,104","-18,609","-46,608","26.04"
2022/05/18,"158,000","159,500","155,500","156,000",▼,"-1,000","-0.64","339,199","53,189","0.46","74,195","-19,211","-61,859","-60,225","-36,293","26.16"
2022/05/17,"160,500","161,000","153,000","157,000",▼,"-5,000","-3.09","686,754","107,284","0.44","284,637","-42,394","-212,965","-253,784","-68,928","26.27"
2022/05/16,"167,500","171,500","160,500","162,000",▼,"-3,000","-1.82","314,411","51,770","0.42","74,577","-11,254","-65,255","-45,529","-83,117","26.63"
2022/05/13,"166,000","167,000","163,000","165,000",▲,"1,500","+0.92","291,227","47,954","0.43","30,988","82,432","-117,747","-47,117","-95,268","26.75"
2022/05/12,"165,500","170,000","163,000","163,500",▼,"-5,000","-2.97","384,994","63,888","0.42","-5,626","69,846","-61,443","-77,194","-13,042","26.95"
2022/05/11,"168,000","176,000","166,500","168,500",▲,"1,000","+0.60","381,726","65,375","0.43","-6,733","10,198","-10,074","6,061","-23,941","27.05"
2022/05/10,"162,500","168,000","160,500","167,500",▲,"3,500","+2.13","305,896","50,536","0.42","-1,281","70,964","-77,640","-70,691","-72,765","27.07"
2022/05/09,"167,000","168,500","162,500","164,000",▼,"-2,500","-1.50","248,200","40,791","0.41","25,633","5,964","-54,722","-15,407","-34,753","27.20"
2022/05/06,"165,000","169,500","165,000","166,500",▼,"-2,000","-1.19","218,189","36,456","0.39","44,923","-24,741","-17,051","-31,606","-26,146","27.30"
2022/05/04,"172,000","173,500","168,000","168,500",▼,"-4,000","-2.32","281,074","47,647","0.39","50,031","-10,479","-30,695","-53,304","-42,907","27.32"
2022/05/03,"180,000","181,000","172,000","172,500",▼,"-6,500","-3.63","352,902","61,715","0.38","48,952","-48,975","-6,029","-1,847","4,979","27.38"
2022/05/02,"180,500","184,500","178,500","179,000",▼,"-2,000","-1.10","324,536","58,599","0.39","-1,986","17,480","-46,210","15,548","18,112","27.39"
2022/04/29,"180,000","184,000","177,000","181,000",▲,"3,000","+1.69","683,408","123,444","0.47","-62,296","32,920","23,049","92,139","17,375","27.47"
2022/04/28,"170,000","182,500","169,000","178,000",▲,"15,000","+9.20","1,554,177","274,662","0.49","-666,643","244,605","427,142","349,439","355,491","27.43"
2022/04/27,"156,500","166,000","156,500","163,000",▲,"2,000","+1.24","292,128","47,435","0.50","-99,807","60,430","45,505","17,530","17,352","26.70"
2022/04/26,"160,500","162,500","158,500","161,000",▲,"2,500","+1.58","209,342","33,721","0.49","-6,987","19,687","-4,698","-15,598","-31,215","26.62"
2022/04/25,"166,000","167,000","158,000","158,500",▼,"-10,000","-5.93","441,609","71,156","0.50","150,973","-73,983","-74,042","-59,013","-70,600","26.63"
2022/04/22,"165,000","169,500","163,500","168,500",▲,"1,000","+0.60","184,893","30,768","0.49","-16,071","-10,456","28,701","9,861","28,670","26.75"
2022/04/21,"167,000","169,500","166,500","167,500",▲,"1,000","+0.60","264,063","44,362","0.50","-19,102","53,486","-25,805","-22,787","-71,142","26.70"
2022/04/20,"167,000","168,500","165,000","166,500",▲,"500","+0.30","252,144","42,099","0.47","26,343","19,766","-28,731","7,412","-37,941","26.75"
2022/04/19,"170,500","170,500","165,500","166,000",▼,"-2,000","-1.19","293,213","49,011","0.48","120,665","-16,894","-94,990","-65,879","-89,695","26.80"
2022/04/18,"162,500","172,500","162,000","168,000",▲,"6,500","+4.02","586,589","98,872","0.49","-57,859","63,755","8,332","-22,905","-159","26.96"
2022/04/15,"162,000","164,500","159,500","161,500",▼,"-1,500","-0.92","158,908","25,721","0.49","13,555","-2,818","2,929","-5,558","-98","26.95"
2022/04/14,"163,500","165,000","161,000","163,000",▲,"1,500","+0.93","268,118","43,739","0.52","-9,329","28,211","-17,776","12,663","-4,250","26.94"
2022/04/13,"159,000","163,500","158,000","161,500",▲,"3,500","+2.22","259,786","41,877","0.51","-41,217","40,524","-60,529","-5,130","-13,728","26.97"
2022/04/12,"154,500","158,500","154,500","158,000",▲,"2,000","+1.28","193,133","30,319","0.52","-2,998","19,836","-21,008","-22,933","-20,752","27.07"
2022/04/11,"154,500","158,000","154,500","156,000",▲,"2,000","+1.30","233,389","36,395","0.49","38,190","-3,338","-23,661","-40,356","-78,337","27.11"
2022/04/08,"156,500","158,000","153,000","154,000",▼,"-2,000","-1.28","294,591","45,536","0.48","132,281","-3,747","-125,115","-98,807","-104,516","27.15"
2022/04/07,"160,000","161,000","156,000","156,000",▼,"-6,000","-3.70","303,495","47,932","0.49","92,755","-20,758","-85,420","-21,809","-37,234","27.37"
2022/04/06,"166,000","169,500","161,500","162,000",▼,"-5,000","-2.99","368,517","60,627","0.49","81,220","-37,378","-43,307","-32,232","-47,367","27.51"
2022/04/05,"167,000","168,000","163,000","167,000", ,"0","0","302,469","50,150","0.50","7,471","4,795","-6,107","-2,894","36,063","27.59"
2022/04/04,"169,000","169,000","165,500","167,000",▲,"1,500","+0.91","430,860","72,047","0.49","62,703","10,072","-39,942","-37,711","-16,686","27.60"
2022/04/01,"159,000","166,500","158,500","165,500",▲,"5,500","+3.44","599,970","98,283","0.50","-13,639","16,055","-1,259","-15,200","33,183","27.66"
2022/03/31,"157,500","160,000","157,000","160,000", ,"0","0","245,191","38,995","0.49","4,366","-26,919","17,629","21,499","32,365","27.67"
2022/03/30,"161,000","162,000","157,500","160,000",▲,"1,000","+0.63","262,890","41,984","0.55","52,438","6,823","-86,377","-35,568","-48,225","27.64"
2022/03/29,"154,500","160,500","153,500","159,000",▲,"6,000","+3.92","623,902","98,754","0.51","-90,888","61,114","25,933","4,543","111,701","27.78"
2022/03/28,"155,000","155,000","150,000","153,000",▼,"-2,500","-1.61","403,054","61,351","0.50","122,435","-81,223","-73,718","-63,425","-3,960","27.74"
2022/03/25,"156,500","157,000","154,500","155,500", ,"0","0","185,696","28,902","0.48","52,064","-15,262","-33,537","-32,205","-14,558","27.87"
2022/03/24,"155,000","156,500","153,000","155,500",▼,"-1,000","-0.64","258,438","39,977","0.51","44,132","-18,228","-13,392","-23,819","-20,666","27.92"
2022/03/23,"156,500","156,500","155,000","156,500",▲,"1,500","+0.97","267,656","41,757","0.50","-26,194","34,927","-9,035","-15,939","26,115","27.95"
2022/03/22,"153,500","155,500","152,000","155,000",▲,"1,500","+0.98","358,919","55,341","0.48","37,075","8,341","-42,872","-60,111","71,539","27.96"
2022/03/21,"152,500","155,500","151,000","153,500",▲,"2,500","+1.66","517,030","79,444","0.41","30,382","8,558","-42,169","-82,402","122,853","28.03"
2022/03/18,"154,500","155,000","150,000","151,000",▼,"-3,000","-1.95","606,826","92,103","0.34","338,073","-100,519","-227,501","-229,021","-21,933","28.11"
2022/03/17,"158,000","158,000","153,000","154,000",▼,"-1,000","-0.65","772,840","119,713","0.33","321,371","29,688","-362,375","-228,596","-163,864","28.50"
2022/03/16,"155,500","156,000","152,000","155,000",▲,"1,500","+0.98","344,802","53,131","0.33","46,145","14,548","-49,539","-19,488","-74,363","29.11"
2022/03/15,"152,000","155,500","150,500","153,500",▼,"-500","-0.32","365,015","55,825","0.27","95,269","-14,799","-107,972","13,404","-119,023","29.20"
2022/03/14,"163,500","164,500","152,500","154,000",▼,"-13,500","-8.06","703,326","109,724","0.26","294,867","-69,259","-233,749","-78,897","-214,018","29.38"
2022/03/11,"169,500","171,500","165,000","167,500",▼,"-2,500","-1.47","449,457","75,717","0.24","60,709","45,835","-118,860","-31,190","-21,844","29.78"
2022/03/10,"175,000","180,000","167,000","170,000",▼,"-4,000","-2.30","467,151","80,380","0.25","70,714","24,562","-106,269","-70,327","59,911","29.99"
2022/03/08,"175,000","179,500","173,500","174,000",▼,"-5,500","-3.06","180,490","31,703","0.25","20,797","14,755","-35,986","-43,215","41,952","30.17"
2022/03/07,"180,500","182,000","176,500","179,500",▼,"-4,500","-2.45","146,384","26,192","0.26","8,854","-19,946","19,577","15,478","5,076","30.23"
2022/03/04,"187,000","189,000","183,500","184,000",▼,"-2,500","-1.34","131,661","24,406","0.25","8,365","-7,165","-4,539","-142","-10,060","30.20"
2022/03/03,"185,000","188,000","184,000","186,500",▲,"1,000","+0.54","123,549","22,894","0.25","12,264","-25,335","16,045","-7,402","6,878","30.20"
2022/03/02,"183,500","188,000","183,000","185,500",▲,"1,500","+0.82","156,456","29,030","0.25","-14,836","-303","-1,481","-13,662","15,137","30.18"
2022/02/28,"179,500","184,500","178,500","184,000",▲,"4,500","+2.51","189,504","34,426","0.24","9,821","1,523","-12,184","-14,349","-11,093","30.18"
2022/02/25,"185,000","187,000","175,500","179,500",▼,"-4,500","-2.45","304,975","54,766","0.25","37,909","9,277","-47,085","-16,107","-67,724","30.20"
2022/02/24,"182,500","185,000","179,500","184,000",▼,"-1,500","-0.81","265,919","48,402","0.24","-36,959","-8,899","14,690","30,802","35,984","30.28"
2022/02/23,"191,000","191,000","183,500","185,500",▼,"-3,000","-1.59","257,656","47,738","0.26","4,441","-28,392","27,342","38,618","-8,738","30.26"
2022/02/22,"187,500","193,000","187,000","188,500",▼,"-2,500","-1.31","211,877","40,105","0.27","-34,235","-4,941","48,138","37,193","40,579","30.21"
2022/02/21,"186,500","192,000","186,500","191,000",▲,"1,000","+0.53","172,888","32,884","0.28","-23,755","15,638","-9,317","11,338","7,292","30.13"
2022/02/18,"185,500","191,500","185,000","190,000",▲,"2,500","+1.33","322,299","60,852","0.29","-60,438","68,623","-9,623","-2,219","-12,857","30.14"
2022/02/17,"183,000","189,500","181,500","187,500",▲,"6,500","+3.59","516,078","96,237","0.28","-90,967","49,772","43,265","-4,686","42,607","30.16"
2022/02/16,"184,000","184,500","178,500","181,000",▲,"1,000","+0.56","265,104","48,026","0.29","17,826","38,490","-1,076","-14,644","-51,146","30.09"
2022/02/15,"173,500","184,000","173,500","180,000",▲,"7,500","+4.35","403,502","72,684","0.30","-108,473","95,562","28,258","-12,835","23,049","30.09"
2022/02/14,"172,000","176,000","170,500","172,500",▼,"-2,500","-1.43","164,805","28,582","0.31","-13,207","17,609","16,201","-332","-3,871","30.04"
2022/02/11,"177,500","183,000","173,000","175,000",▼,"-3,500","-1.96","454,407","80,584","0.33","-24,918","-10,027","35,380","5,087","-35,917","30.01"
2022/02/10,"167,500","179,500","167,000","178,500",▲,"15,000","+9.17","1,173,589","206,258","0.32","-375,591","178,738","203,238","71,930","20,662","29.95"
2022/02/09,"160,000","165,000","158,000","163,500",▲,"5,500","+3.48","318,527","51,566","0.31","-19,105","77,793","-59,373","-52,514","-60,315","29.60"
2022/02/08,"161,500","163,500","156,000","158,000",▼,"-1,500","-0.94","161,522","25,824","0.32","14,452","18,388","-17,035","-27,479","-32,140","29.70"
2022/02/07,"160,500","163,000","158,000","159,500",▼,"-500","-0.31","199,691","31,977","0.31","19,070","12,477","-31,476","-15,431","-29,429","29.73"
2022/02/04,"154,000","160,500","153,500","160,000",▲,"6,000","+3.90","158,497","25,042","0.30","-21,638","35,547","8,455","-7,641","-15,227","29.79"
2022/02/03,"158,000","161,000","153,000","154,000",▼,"-1,000","-0.65","170,892","26,854","0.32","6,651","27,757","-24,757","-35,628","-24,413","29.77"
2022/01/28,"151,000","156,500","150,000","155,000",▲,"5,500","+3.68","181,396","27,926","0.31","-36,967","72,027","-48,780","-25,011","-30,298","29.82"
2022/01/27,"154,500","155,000","148,500","149,500",▼,"-4,000","-2.61","224,031","33,697","0.32","19,813","-12,654","-7,061","2,987","-26,582","29.90"
2022/01/26,"151,000","157,000","149,500","153,500",▲,"3,000","+1.99","186,135","28,584","0.33","-35,257","36,983","14,755","-37,600","37,076","29.91"
2022/01/25,"153,500","154,500","149,000","150,500",▼,"-4,000","-2.59","222,878","33,555","0.33","17,537","243","440","-25,548","3,370","29.89"
2022/01/24,"159,500","160,500","153,000","154,500",▼,"-5,000","-3.13","243,185","37,795","0.34","13,511","25,343","-35,473","-39,656","-32,797","29.88"
2022/01/21,"155,000","162,000","154,000","159,500",▲,"2,500","+1.59","254,008","40,411","0.36","-26,184","31,673","-7,218","8,513","-41,030","29.95"
2022/01/20,"150,500","159,000","150,000","157,000",▲,"7,000","+4.67","282,681","44,158","0.36","-58,306","34,067","20,154","-7,487","-2,549","29.96"
2022/01/19,"150,000","151,000","148,500","150,000", ,"0","0","120,352","18,018","0.37","5,238","-13,713","12,457","17,313","-15,025","29.92"
2022/01/18,"149,500","151,000","149,000","150,000",▲,"500","+0.33","110,045","16,496","0.37","-2,857","-17,679","21,507","20,214","5,830","29.90"
2022/01/17,"151,000","152,000","149,000","149,500",▼,"-2,500","-1.64","150,520","22,587","0.38","7,191","-1,413","13,609","384","-5,284","29.87"
2022/01/14,"152,500","153,000","151,000","152,000",▼,"-1,500","-0.98","131,369","19,956","0.36","14,659","-14,355","6,665","2,612","-3,674","29.84"
2022/01/13,"155,000","157,000","153,000","153,500",▼,"-1,500","-0.97","265,984","41,010","0.36","35,212","-30,014","-15,247","19,586","4,025","29.83"
2022/01/12,"152,500","156,000","152,500","155,000",▲,"2,000","+1.31","177,260","27,343","0.36","-1,193","-15,733","-677","8,920","14,463","29.86"
2022/01/11,"150,500","153,500","150,000","153,000",▲,"1,000","+0.66","249,170","37,812","0.39","17,393","-26,107","-54,605","45,953","-23,144","29.86"
2022/01/10,"159,500","159,500","144,000","152,000",▼,"-8,500","-5.30","897,775","135,343","0.38","125,865","-7,780","-152,257","-46,617","70,597","29.95"
2022/01/07,"163,000","164,500","159,000","160,500",▼,"-3,000","-1.83","269,295","43,342","0.37","101,275","1,428","-65,053","-71,847","-63,895","30.21"
2022/01/06,"159,000","164,500","158,000","163,500",▲,"1,500","+0.93","319,517","51,603","0.34","31,810","-44,197","32,884","-273","50,558","30.32"
2022/01/05,"165,500","166,000","160,000","162,000",▼,"-4,500","-2.70","390,474","63,047","0.34","150,311","-67,461","-84,858","-36,476","40,018","30.27"
2022/01/04,"168,000","168,500","165,500","166,500",▼,"-1,500","-0.89","198,915","33,097","0.33","58,087","-70,949","37,703","-4,231","19,614","30.41"
2022/01/03,"167,500","168,500","165,500","168,000",▲,"1,000","+0.60","157,696","26,348","0.31","41,388","-16,578","8,650","-21,993","12,815","30.35"
2021/12/30,"173,500","174,000","166,500","167,000",▼,"-8,000","-4.57","292,476","49,517","0.31","165,224","-61,300","-108,118","-51,102","-60,327","30.33"
2021/12/29,"174,000","177,000","171,000","175,000",▼,"-1,500","-0.85","142,287","24,785","0.31","17,606","-32,468","-49,770","-8,564","31,366","30.52"
2021/12/28,"175,500","177,000","173,000","176,500",▲,"2,000","+1.15","131,893","23,065","0.32","-8,376","20,984","-17,245","-13,901","21,430","30.60"
2021/12/27,"176,000","177,000","173,500","174,500",▼,"-1,000","-0.57","93,495","16,356","0.31","5,923","-4,737","-9,150","3,648","10,798","30.63"
2021/12/24,"177,500","179,000","175,000","175,500",▼,"-1,500","-0.85","113,354","19,979","0.31","20,733","7,020","-32,164","-4,117","-11,382","30.65"
2021/12/23,"177,500","178,500","175,000","177,000",▲,"1,000","+0.57","107,838","19,012","0.30","7,153","24,111","-83,578","-7,272","-38,946","30.70"
2021/12/22,"178,500","181,000","175,500","176,000",▼,"-500","-0.28","89,306","15,815","0.29","16,307","6,308","-33,845","-11,885","-29,643","30.85"
2021/12/21,"176,500","179,500","175,500","176,500", ,"0","0","86,638","15,388","0.30","-4,369","26,207","-49,492","-26,272","-19,812","30.90"
2021/12/20,"178,500","179,500","176,000","176,500",▼,"-3,000","-1.67","106,564","18,905","0.30","-3,460","306","-8,617","-6,459","-9,440","30.99"
2021/12/17,"179,500","180,500","177,500","179,500",▼,"-500","-0.28","122,728","22,000","0.29","6,671","2,323","-16,288","-23,602","-15,713","31.00"
2021/12/16,"188,000","188,500","179,500","180,000",▼,"-9,500","-5.01","244,401","44,631","0.32","75,134","-6,393","-53,825","-47,630","-92,550","31.03"
2021/12/15,"183,500","189,500","183,500","189,500",▲,"8,000","+4.41","501,753","94,071","0.32","-172,600","132,984","48,302","67,848","-10,654","31.12"
2021/12/14,"177,500","183,500","176,000","181,500",▲,"3,000","+1.68","242,430","43,927","0.32","-46,301","40,122","19,305","8,793","879","31.04"
2021/12/13,"179,000","180,000","176,500","178,500",▼,"-500","-0.28","110,959","19,797","0.32","-1,758","11,436","-143,310","3,235","-10,092","31.01"
2021/12/10,"174,500","179,000","174,000","179,000",▲,"1,500","+0.85","106,196","18,857","0.34","-25,921","17,664","-3,228","5,483","-5,156","31.25"
2021/12/09,"171,500","177,500","171,000","177,500",▲,"6,500","+3.80","336,711","59,179","0.33","-79,558","50,150","-13,100","17,874","86,314","31.26"
2021/12/08,"177,000","177,000","170,500","171,000",▼,"-6,000","-3.39","263,102","45,320","0.33","66,293","30,975","-124,614","-66,540","-79,494","31.28"
2021/12/07,"174,500","177,000","172,500","177,000",▲,"4,500","+2.61","168,545","29,516","0.32","-11,726","2,978","5,260","17,491","-4,324","31.49"
2021/12/06,"168,000","175,500","167,500","172,500",▲,"5,500","+3.29","245,246","42,303","0.32","-26,651","1,148","20,351","9,901","-9,162","31.48"
2021/12/03,"165,000","168,500","164,000","167,000",▲,"3,000","+1.83","203,177","33,797","0.32","24,897","12,709","-50,349","-32,087","-4,159","31.45"
2021/12/02,"158,500","170,500","157,500","164,000",▲,"3,500","+2.18","496,352","82,283","0.33","-30,812","30,794","-41,145","-76,852","66,348","31.54"
2021/12/01,"157,500","165,500","157,000","160,500",▲,"3,500","+2.23","264,949","42,868","0.32","-21,117","51,942","-24,430","-13,199","-5,530","31.61"
2021/11/30,"165,500","168,000","155,500","157,000",▼,"-9,500","-5.71","388,418","61,974","0.33","99,890","-39,809","-59,665","-57,457","-27,053","31.65"
2021/11/29,"167,000","169,000","163,500","166,500",▼,"-3,000","-1.77","202,766","33,822","0.32","-34,154","16,263","17,548","-6,299","-20,774","31.75"
2021/11/26,"172,500","173,500","168,000","169,500",▼,"-4,000","-2.31","201,813","34,219","0.32","52,238","-48,300","-2,230","-1,695","32","31.72"
2021/11/25,"173,500","175,500","173,000","173,500",▼,"-500","-0.29","87,776","15,252","0.31","16,983","-23,302","8,434","-6,647","6,078","31.72"
2021/11/24,"176,500","178,500","174,000","174,000",▼,"-3,000","-1.69","122,899","21,537","0.31","35,558","-32,504","13,079","-18,528","-3,997","31.71"
2021/11/23,"176,500","179,500","175,500","177,000",▼,"-1,500","-0.84","102,931","18,249","0.32","4,668","-21,761","32,495","4,865","-5,062","31.69"
2021/11/22,"176,000","180,500","175,000","178,500",▲,"500","+0.28","98,746","17,584","0.32","7,107","-16,504","-27,120","-855","11,758","31.63"
2021/11/19,"175,500","179,500","173,500","178,000",▲,"2,500","+1.42","139,439","24,726","0.32","-15,131","14,406","2,431","-11,852","2,431","31.68"
2021/11/18,"180,500","181,000","175,500","175,500",▼,"-6,500","-3.57","197,933","35,048","0.31","89,328","-26,021","-65,936","-54,168","-36,970","31.67"
2021/11/17,"184,500","185,500","180,500","182,000",▼,"-3,000","-1.62","149,234","27,166","0.32","14,597","-26,442","19,004","12,391","12,916","31.79"
2021/11/16,"183,500","185,500","182,000","185,000",▲,"500","+0.27","128,080","23,572","0.31","-8,933","6,649","4,926","-15","23,078","31.75"
2021/11/15,"185,500","188,500","182,000","184,500",▼,"-500","-0.27","226,821","41,767","0.32","30,941","30,920","-48,433","-58,791","15,105","31.74"
2021/11/12,"185,000","186,500","183,000","185,000",▲,"2,000","+1.09","126,603","23,406","0.33","-31,546","32,073","-5,604","2,587","-2,021","31.83"
2021/11/11,"178,000","183,500","176,500","183,000",▲,"3,000","+1.67","269,985","48,834","0.32","-26,562","36,680","-1,713","-642","25,840","31.84"
2021/11/10,"183,000","185,500","179,500","180,000",▼,"-6,500","-3.49","269,657","48,843","0.32","50,200","-1,794","-30,716","-57,500","-36,302","31.84"
2021/11/09,"187,500","190,000","183,500","186,500", ,"0","0","237,372","43,968","0.30","17,146","11,807","-16,166","-27,814","-14,248","31.89"
2021/11/08,"189,500","193,500","184,500","186,500",▼,"-1,500","-0.80","208,130","39,097","0.31","16,443","3,831","-39,930","-28,827","-7,015","31.92"
2021/11/05,"186,500","188,500","183,500","188,000",▲,"1,000","+0.53","141,891","26,366","0.30","-13,453","-7,183","40,456","15,546","29,649","31.99"
2021/11/04,"190,000","192,000","186,000","187,000",▼,"-2,000","-1.06","170,136","32,048","0.30","12,194","-1,452","-9,755","3,023","-6,888","31.92"
2021/11/03,"191,500","191,500","186,000","189,000",▼,"-1,500","-0.79","124,909","23,539","0.30","6,381","-12,032","-4,619","15,832","3,800","31.94"
2021/11/02,"191,500","193,000","188,500","190,500",▼,"-500","-0.26","222,404","42,429","0.35","-6,952","-1,237","14,933","26,917","-8,373","31.94"
2021/11/01,"183,500","194,000","182,500","191,000",▲,"9,500","+5.23","473,538","90,515","0.34","-173,312","61,013","103,393","62,745","48,287","31.92"
2021/10/29,"184,500","187,000","180,500","181,500",▼,"-4,000","-2.16","209,653","38,380","0.36","29,377","-19,150","-6,077","-40,165","3,807","31.74"
2021/10/28,"183,500","187,500","180,500","185,500",▲,"2,000","+1.09","268,262","49,438","0.35","-28,633","24,340","32,904","52,259","28,390","31.75"
2021/10/27,"190,500","190,500","182,000","183,500",▼,"-6,500","-3.42","414,339","76,443","0.34","81,064","-96,571","-13,513","677","-13,837","31.70"
2021/10/26,"194,000","194,000","188,500","190,000",▼,"-2,500","-1.30","248,790","47,429","0.33","69,551","-38,434","-25,252","-18,653","-3,499","31.72"
